"G.U.Pope & Co - Commentary",Transliteration,T.Kannan,"Yogi Shuddhananda Bharatiyar","G.U.Pope & Co - Poems","Ramachandra Dikshitar","Satguru Sivaya Subramuniyaswami","Various Translators",Dinamalar
"It is the unfailing fall of rain that sustains the world. Therefore, look upon rain as the nectar of life.","Rain is deemed a nectar of life
As its unfailing fall sustains the world.","By the continuance of rain the world is preserved in existence; it is therefore worthy to be called ambrosia.","Rain is deemed a nectar of life As its
unfailing fall sustains the world.","The world for its existence depends on unfailing rainfall; the rain may well be regarded as the nectar of life.","Vaannindru Ulakam Vazhangi
Varudhalaal
Thaanamizhdham Endrunarar Paatru","The world survives because of the rains and therefore rain is known to be the nectar of immortality.","The genial rain ambrosia call: 
The world but lasts while rain shall fall.","The World its course maintains through life that rain unfailing gives;
Thus rain is known the true ambrosial food of all that lives."
"Rain produces man’s wholesome food; and rain itself forms part of his food besides.","Rain is not only a consumable for the consumer
But also begets other consumables.","Rain produces good food, and is itself food.","The rain is the source of all articles of food that man needs. It becomes his drink too.","Rain is not only a consumable for the
consumer But also begets other consumables.","Thuppaarkkuth Thuppaaya Thuppaakkith
Thuppaarkkuth
Thuppaaya Thooum Mazhai","Oh rain! You not only create everything we eat, you are the indispensable food yourself.","The rain begets the food we eat 
And forms a food and drink concrete.","The rain makes pleasant food for eaters rise;
As food itself, thirst quenching draught supplies."
"If clouds. The promised rain, deceive, and in the sky remain,
Famine, sore torment, stalks o’er earth's vast ocean girdled plain.","Though oceanic waters surround it, the world will be deluged by hunger’s hardships if the billowing clouds betray us.","If the cloud, withholding rain, deceive (our hopes) hunger will long distress the sea-girt spacious world.","This vast world, with expanse of seas,
Will still suffer with famine if clouds deceive rain.","Hunger would stalk abroad and torment this wide sea-girt world were the rims to fail in time.","This vast world, with expanse of seas,
Will still suffer with famine if clouds deceive rain.","Vinindru Poippin Virineer
Viyanulakaththu
Ulnindru Utatrum Pasi","If the skies fail to rain, the world, though surrounded by sea, will yet suffer of hunger.","Let clouds their visits stay, and dearth 
Distresses all the sea girt earth."
"If clouds their wealth on waters fail on earth to pour,
The ploughers plough with oxen’s sturdy team no more.","When clouds withhold their watery wealth, farmers cease to ply their plows.","If the abundance of wealth imparting rain diminish, the labour of the plough must cease.","If that bounty called rain decrease,
Ploughing by ploughmen would also cease.","The cultivators would cease to plough were the clouds’ free supply of water to fail.","If that bounty called rain decrease,
Ploughing by ploughmen would also cease.","Erin Uzhaaar Uzhavar Puyalennum
Vaari Valangundrik Kaal","If the monsoons fail, farmers won’t till their lands to produce food.","Unless the fruitful shower descend, 
The ploughman's sacred toil must end."
"It is the tormentor; it is the saviour of the tormented: the rain is everything for us.","Destruction it may sometimes pour, 
But only rain can life restore.","‘Tis rain works all: it ruin spreads, then timely aid supplies;
As, in the happy days before, it bids the ruined rise.","Rain by its absence ruins men; and by its existence restores them to fortune.","It is rain that ruins, and it is rain again that raises up those it has ruined.","It is the rain that afflicts man and it is its fall that relieves him.","Rain holds the power of ruin.
Rain also lifts up those it has ruined.","Rain holds the power of ruin.Rain also
lifts up those it has ruined.","Ketuppadhooum Kettaarkkuch Chaarvaaimar
Raange
Etuppadhooum Ellaam Mazhai"
"Visumpin Thuliveezhin Allaalmar
Raange
Pasumpul Thalaikaanpu Aridhu","Unless drops of precious rain fall down, not even grass will sprout its head.","No grassy blade its head will rear, 
If from the cloud no drop appear.","If no drop falls from the clouds, not even the green blade of grass will be seen.","If from the clouds no drops of rain are shed,
‘Tis rare to see green herb lift up its head.","Unless raindrops fall from the sky, not a blade of green grass will rise from the earth.","If the clouds were to withhold rain not even a blade of grass would rustle on earth.","If clouds stop dropping raindrops,
Even blades of grass will stop rising.","If clouds stop dropping raindrops, Even
blades of grass will stop rising."
"Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain).","Netungatalum Thanneermai Kundrum
Thatindhezhili
Thaannalkaa Thaaki Vitin","Even the vast ocean will start shrinking, if the clouds that took the water away from it, don’t pour it back.","The ocean's wealth will waste away,
Except the cloud its stores repay.","If clouds restrain their gifts and grant no rain,
The treasures fail in ocean’s wide domain.","Even the illimitable deep shrinks if the clouds do not pour and replenish it.","The very nature of oceans, though vast, would diminish if clouds ceased to take up water and replenish rain’s gifts.","Even the vast sea will lose its richness,
If clouds cease and fail to bestow.","Even the vast sea will lose its richness,
If clouds cease and fail to bestow."
"If the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestials.","If the heavens dry up, the very gods Will
lack festival and worship.","Sirappotu Poosanai Sellaadhu Vaanam
Varakkumel Vaanorkkum Eentu","Special offerings and daily rituals to gods will stop, if the skies dry up.","The earth, beneath a barren sky, 
Would offerings for the gods deny.","If the rains were to fail there would be no more o£ferings and festivals to the gods.","If heaven grow dry, with feast and offering never more,
Will men on earth the heavenly ones adore.","Should the heavens dry up, worship here of the heavenly ones in festivals and daily rites would wither.","If the heavens dry up, the very gods
Will lack festival and worship."
"Both charity and penance would cease in
this vast world, Should heavens fail to deliver.","If the rains were to fail, there would neither be alms nor penance on this wide earth.","Thaanam Thavamirantum Thangaa
Viyanulakam
Vaanam Vazhangaa Thenin","Charity and penance will both cease to exist in this world, if the clouds are not charitable.","Were heaven above to fail below 
Nor alms nor penance earth would show.","If heaven its watery treasures ceases to dispense,
Through the wide world ceases gifts, and deeds of ’penitence’.","Unless the heavens grant their gifts, neither the giver’s generosity nor the ascetic’s detachment will grace this wide world.","Both charity and penance would cease in this vast world,
Should heavens fail to deliver.","If rain fall not, penance and alms-deeds will not dwell within this spacious world."
"The world cannot exist without water; there will be no ceaseless supply without rainfall.","If the world cannot exist without water,
Neither can water exist without rain.","Neerindru Amaiyaadhu Ulakenin
Yaaryaarkkum
Vaanindru Amaiyaadhu Ozhukku","World can’t survive without water and morality can’t exist without rains.","Water is life that comes from rain 
Sans rain our duties go in vain.","When water fails, functions of nature cease, you say;
Thus when rain fails, no men can walk in ‘duty’s ordered way’.","No life on Earth can exist without water, and water’s ceaseless flow cannot exist without rain.","If the world cannot exist without water,
Neither can water exist without rain.","If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water."
"The one supreme thing all scriptures affirm is the great renunciation of those who walk in right conduct.","Scriptures ought to exalt with firmness
The greatness of disciplined ascetics.","Ozhukkaththu Neeththaar Perumai
Vizhuppaththu
Ventum Panuval Thunivu","All books willingly conclude as the most excellent, the greatness of those with the right conduct who have given up attachment.","No merit can be held so high
As theirs who sense and self deny.","The settled rule of every code requires, as highest good,
Their greatness who, renouncing all, true to their rule have stood.","The Scriptures exalt above every other good the greatness of virtuous renunciates.","The end and aim of all treatise is to extol beyond all other excellence, the greatness of those who, while abiding in the rule of conduct peculiar to their state, have abandoned all desire.","Scriptures ought to exalt with firmness
The greatness of disciplined ascetics."
"To measure the greatness of one who has renounced is like reckoning the number of the dead in this world.","To recount an ascetic's greatness Is to
count the world's dead.","Thurandhaar Perumai Thunaikkoorin
Vaiyaththu
Irandhaarai Ennikkon Tatru","Trying to quantify the greatness of those who have overcome desire is like counting those who have died till now.","To con ascetic glory here
Is to count the dead upon the sphere.","As counting those that from the earth have passed away,
‘Tis vain attempt the might of holy men to say.","Attempting to speak of the renunciate’s magnitude is like numbering all the human multitudes who have ever died.","To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead.","To recount an ascetic's greatness
Is to count the world's dead."
"The world shines on the greatness of those who,
Knowing both, choose renunciation.","The world shines on the greatness of those
who, Knowing both, choose renunciation.","Irumai Vakaidherindhu Eentuaram
Poontaar
Perumai Pirangitru Ulaku","The greatness of those who have known the nature of both worlds, And have eschewed desire to live a righteous life, is most admirable in this world.","No lustre can with theirs compare
Who know the right and virtue wear.","Their greatness earth transcends, who, way of both worlds weighed,
In this world take their stand, in virtue’s robe arrayed.","The greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others).","Behold those who have weighed the dual nature of things and followed the renunciate’s way. Their greatness illumines the world.","The greatest thing on earth is the renunciation of those who understand birth and liberation."
"The restraint of senses five by the ankush of firmness
Is the seed for the bliss of heaven.","The restraint of senses five by the ankush
of firmness Is the seed for the bliss of heaven.","Uranennum Thottiyaan Oraindhum
Kaappaan
Varanennum Vaippirkor Viththu","Using the ankus called resoluteness, one who controls the elephant named five senses, is sowing for future glory.","With hook of firmness to restrain
The senses five, is heaven to gain.","He who guides his five senses by the hook of wisdom will be a seed in the world of heaven.","He, who with firmness’ curb the five restrains,
Is seed for soil of yonder happy plains.","He whose firm will, wisdom’s goading hook, controls his five senses is a seed that will flourish in the fields of Heaven.","He who with firmness bridles the five senses is (himself) the seed of the eternal bliss."
"Even the celestial king Indra will vouch the strength
Of one who rules his senses five.","Even the celestial king Indra will vouch
the strength Of one who rules his senses five.","Indra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five senses.","Aindhaviththaan Aatral Akalvisumpu
Laarkomaan
Indhirane Saalung Kari","God, the king of heavens, is an example of what the ability to conquer one’s five senses can result in.","Indra himself has cause to say 
How great the power ascetics' sway.","Their might who have destroyed ‘the five,' shall soothly tell
Indra, the lord of those in heaven’s wide realms that dwell.","Indra, the Lord of the skies is himself a witness, to the might of those who have conquered their five senses.","Such is the power of those who subdue the five senses, that even Indra, sovereign of spacious Heaven’s celestials, suffered their curse."
"Great people take on difficult tasks;
Small people avoid them.","The great will do those things which is difficult to be done; but the mean cannot do them.","Great people take on difficult tasks;
Small people avoid them.","Seyarkariya Seyvaar Periyar Siriyar
Seyarkariya Seykalaa Thaar","What separates the great from the ordinary is their ability to do the seemingly impossible.","The small the paths of ease pursue 
The great achieve things rare to do.","The great achieve the impossible; the little cannot.","Things hard in the doing will great men do;
Things hard in the doing the mean eschew.","The magnificent ones are they who can dispatch the most difficult tasks; the insignificant ones are they who cannot."
"Touch, taste, sight, smell and hearing are the senses— he who controls these five magically controls the world.","This world is his who knows for what these five are:
Taste, sight, touch, sound and smell.","The world is within the knowledge of him who knows the properties of taste, sight, touch, hearing and smell.","This world is his who knows for what these
five are: Taste, sight, touch, sound and smell.","The world falls at the feet of one who has realised the true nature of the taste, sight, touch, sound and smell.","Suvaioli Ooruosai Naatramendru
Aindhin
Vakaidherivaan Katte Ulaku","One who has analysed and conquered the urges of taste, sight, touch, sound and smell, will control this world.","They gain the world, who grasp and tell 
Of taste, sight, hearing, touch and smell.","Taste, light, touch, sound , and smell: who knows the way
Of all the five, the world submissive owns his sway."
"Their own subtle sayings reveal to the world the greatness of men whose words prove prophetic.","The scriptures of the world proclaim
The potent utterance of the great.","The hidden words of the men whose words are full of effect, will shew their greatness to the world.","The greatness of the sages in this world is borne out by their prophetic utterances.","The scriptures of the world proclaim The
potent utterance of the great.","Niraimozhi Maandhar Perumai
Nilaththu
Maraimozhi Kaatti Vitum","The words of those glorious people, who control their minds completely, become the gospel.","Full worded men by what they say, 
Their greatness to the world display.","The might of men whose word is never vain,
The ‘Secret word’ shall to the earth proclaim."
"The wrath ‘tis hard e’en for an instant to endure,
Of those who virtue’s hill have scaled, and stand secure.","The anger of those who have ascended the mountain of goodness, though it continue but for a moment, cannot be resisted.","It is impossible to endure, even for a second, the wrath of those who have scaled and stand upon the mountain called virtue.","The wrath of those who have scaled the heights of character
Can't be endured even for a moment.","It is impossible to resist even for a minute the wrath of those who stand on the hill of virtue’s actions.","The wrath of those who have scaled the
heights of character Can't be endured even for a
moment.","Kunamennum Kundreri Nindraar Vekuli
Kanameyum Kaaththal Aridhu","Those who have scaled the mountain of morality will not allow their anger to last for a moment.","Their wrath, who've climb'd the mount of good,
Though transient, cannot be withstood."
"The virtuous are truly called Anthanar; because in their conduct towards all creatures they are clothed in kindness.","Towards all that breathe, with seemly graciousness adorned they live;
And thus to virtue’s son’s the name of ‘Anthanar’ men give.","Pious men are called the priestly ones, for they are clothed in robes of compassion for all life.","Ascetics are called men of virtue
For they assume the role of mercy for all that live.","They are the Brahmans who are righteous and love all creation.","Ascetics are called men of virtue For they
assume the role of mercy for all that live.","Andhanar Enpor Aravormar Revvuyir
KkumSendhanmai Poontozhuka Laan","All (and only) those righteous people, who shower love on all living beings, can be classified as Anthanar*.","With gentle mercy towards all,
The sage fulfils the vitue's call."
"Righteousness yields good reputation and wealth; is there anything more precious?","From virtue weal and wealth outflow;
What greater good can mankind know?","It yields distinction, yields prosperity: what gain
Greater than virtue can a living man obtain?","Virtue yields Heaven’s honor and Earth’s wealth. What is there then that is more fruitful for a man?","Is there anything higher in life than Dharma? It secures glory and wealth.","What gain greater than virtue can a living man obtain,
Which yields fame and fortune?","What gain greater than virtue can a living
man obtain, Which yields fame and fortune?","Virtue will confer heaven and wealth; what greater source of happiness can man possess ?","Sirappu Eenum Selvamum Eenum
AraththinoounguAakkam Evano Uyirkku"
"Araththinooungu Aakkamum Illai
Adhanai
Maraththalin Oongillai Ketu","Rectitude is the most precious possession; there is nothing more pernicious than straying from it.","Virtue enhances joy and gain;
Forsaking it is fall and pain.","No greater gain than virtue aught can cause;
No greater loss than life oblivious of her laws.","There is nothing more rewarding than virtue, nor anything more ruinous than its neglect.","Nothing is higher than Dharma; to forget it is wrought with greatest evil.","There is no greater gain than virtue.
No surer path to ruin than its neglect.","There can be no greater source of good than (the practice of) virtue; there can be no greater source of evil than the forgetfulness of it.","There is no greater gain than virtue.No
surer path to ruin than its neglect."
"Ollum Vakaiyaan Aravinai Ovaadhe
Sellumvaai Ellaanj Cheyal","Keep doing the morally right things, in every possible manner, wherever you go.","Perform good deeds as much you can
Always and everywhere, o man!","To finish virtue’s work with ceaseless effort strive,
What way thou may’st where’er thou see’st the work may thrive.","Avail yourself of all opportunities. Do not cease from practising Dharma on all possible occasions to the best of your ability.","Be unremitting in the doing of good deeds; do them with all your might and by every possible means.","The right thing to do is to be righteous
At all places and all times.","As much as possible, in every way, incessantly practise virtue.","The right thing to do is to be righteous
At all places and all times."
"A blemishless mind is the basis of all
virtue.Everything else is empty show.","Manaththukkan Maasilan Aadhal
Anaiththu
AranAakula Neera Pira","True moral integrity lies in being flawless in your thoughts; everything else is loud and blatant posturing.","In spotless mind virtue is found
And not in show and swelling sound.","Be pure in mind. That is Dharma. All else is but pompous show.","Spotless be thou in mind! This only merits virtue’s name;
All else, mere pomp of idle sound, no real worth can claim.","Keep the mind free of impurity. That alone is the practice of virtue. All else is nothing but empty display.","A blemishless mind is the basis of all virtue.
Everything else is empty show.","Let him who does virtuous deeds be of spotless mind; to that extent is virtue; all else is vain show."
"Envy, greed, wrath and harsh words: These
four avoided is virtue.","That course of conduct that steers clear of every desire, wrath, and offensive speech — is alone Dharma.","Azhukkaaru Avaavekuli Innaachchol
Naankum
Izhukkaa Iyandradhu Aram","Righteousness is all about removing the four flaws. envy, desire, anger and harmful words.","Four ills eschew and virtue reach, 
Lust, anger, envy, evil speech.","‘Tis virtue when, his footsteps sliding not through envy, wrath,
Lust, evil speech these four, man onwards moves in ordered path.","Virtue is living in such a way that one does not fall into these four: envy, anger, greed and unsavory speech.","That conduct is virtue which is free from these four things, viz, malice, desire, anger and bitter speech.","Envy, greed, wrath and harsh words:
These four avoided is virtue."
"Do not postpone doing Dharma. Do it now. For it will be a never failing friend at your death.","Defer not virtue but practice now.At the
dying hour she will be your undying friend.","Andrarivaam Ennaadhu Aranjeyka
Matradhu
Pondrungaal Pondraath Thunai","Do the righteous deeds now without waiting for senility to set in; they will remain your permanent companions then.","Do good enow; defer it not
A deathless aid in death if sought.","Do deeds of virtue now, Say not, 'To morrow we’ll be wise';
Thus, when thou diest, shalt thou find a help that never dies.","Don’t tell yourself you’ll be wise enough to practice virtue tomorrow. Do it now, for it will be your deathless companion when you die.","Defer not virtue to another day; receive her now; and at the dying hour she will be your undying friend.","Defer not virtue but practice now.
At the dying hour she will be your undying friend."
"Why search for the fruits of Dharma? Behold the one in the palanquin and the palanquin-bearer.","Inquiring about virtues' benefits?See that
between The rider and bearer of a palanquin.","Araththaaru Ithuvena Ventaa Sivikai
Poruththaanotu Oorndhaan Itai","One man lifting another on a palanquin, can’t be justified as the fruit of any prior moral deeds.","Litter bearer and rider say
Without a word, the fortune's way.","Needs not in words to dwell on virtue’s fruits; compare
The man in litter borne with them that toiling bear!","The fruit of virtue need not be described in books; it may be inferred from seeing the bearer of a palanquin and the rider therein.","It is utterly superfluous to inquire about virtue’s benefits, so evident in the difference between the palanquin’s rider and bearer.","Inquiring about virtues' benefits? See that between
The rider and bearer of a palanquin."
"If one were to practise righteousness every day it would be the stone that blocks the way to re-birth.","The good you do without wasting a day Is
the stone that blocks the way to rebirth.","Veezhnaal Pataaamai Nandraatrin
Aqdhoruvan
Vaazhnaal Vazhiyataikkum Kal","Never let a day pass without a good deed; it makes this life fulfilling and the next unnecessary.","Like stones that block rebirth and pain
Are doing good and good again.","If one allows no day to pass without some good being done, his conduct will be a stone to block up the passage to other births.","If no day passing idly, good to do each day toil,
A Stone ’t will be to block the way of future days of moil.","Not allowing a day to pass without doing some good is a boulder that will block your passage on the path to rebirth.","The good you do without wasting a day
Is the stone that blocks the way to rebirth."
"Virtue alone brings happiness;
All else is naught, and without praise.","Virtue alone brings happiness; All else is
naught, and without praise.","Only that pleasure which flows from domestic virtue is pleasure; all else is not pleasure, and it is without praise.","Araththaan Varuvadhe Inpam
MarRellaam
Puraththa Pukazhum Ila","True joy blossoms only due to righteous deeds; all else cause unhappiness and disrepute.","Weal flows only from virtue done
The rest is rue and renown gone.","What from virtue floweth, yieldeth dear delight;
All else extern, is void of glory’s light.","Only virtuous deeds abound in true joy. All other deeds are empty and devoid of distinction.","Happiness springs only from Dharma. All else is sorrow and merits no praise."
"Virtue is that which should be done.
And vice is that which should be shun.","That is virtue which each ought to do, and that is vice which each should shun.","Virtue is that which should be done.And
vice is that which should be shun.","Seyarpaala Thorum Arane Oruvarku
Uyarpaala Thorum Pazhi","A righteous deed deserves to be done; an evil deed ought to be avoided to protect oneself from infamy.","Worthy act is virtue done
Vice is what we ought to shun.","‘Virtue’ sums the things that should be done;
‘Vice’ sums the things that man should shun.","Virtue is merely that which should be done in life, and vice is merely that which should be avoided.","To do good and to avoid evil must be the law of our being."
"A householder is a steadfast friend
To the other three orders in their virtuous paths.","He will be called a (true) householder, who is a firm support to the virtuous of the three orders in their good path.","A householder is a steadfast friend To the
other three orders in their virtuous paths.","Ilvaazhvaan Enpaan Iyalputaiya
Moovarkkum
Nallaatrin Nindra Thunai","A good family person is one who supports all three relationships (parents, wife, children) in a balanced and righteous manner.","The ideal householder is he
Who aids the natural orders there.","The men of household virtue, firm in way of good, sustain
The other orders three that rule professed maintain.","The householder is the prop of the three orders of life in the conduct of their virtue.","He alone may be called a householder who supports students, elders and renunciates pursuing well their good paths."
"The householder supports the needs of
Renunciates, ancestors and the poor.","He will be said to flourish in domestic virtue who aids the forsaken, the poor, and the dead.","The householder supports the needs of
Renunciates, ancestors and the poor.","A good family person also extends support to saints, poor and needy.","Thurandhaarkkum Thuvvaa Dhavarkkum
Irandhaarkkum
Ilvaazhvaan Enpaan Thunai","His help the monk and retired share, 
And celebrate students are his care.","The householder is the mainstay of the ascetics, the needy and the dead.","To anchorites, to indigent, to those who’ve passed away,
The man for household virtue famed is needful help and stay.","The virtuous householder supports the needs of renunciates, ancestors and the poor."
"The foremost duty of family life is to serve duly these five: God, guests, kindred, ancestors and oneself.","The chief (duty of the householder) is to preserve the five-fold rule (of conduct) towards the manes, the Gods, his guests, his relations and himself.","A householder's main duty is to serve these five:
God, guests, kindred, ancestors and himself.","A householder's main duty is to serve
these five: God, guests, kindred, ancestors and
himself.","It is the supreme virtue (of the householder) to fulfil his obligations to forefathers, gods, guests, relatives and himself.","Teachers, God, guests, relatives and oneself. it is important to nurture all these five in addition to the family.","Thenpulaththaar Theyvam Virundhokkal
Thaanendraangu
Aimpulaththaaru Ompal Thalai","By dutiful householder's aid
God, manes, kin, self and guests are served.","The manes, God. Guest, Kindred, self, in due degree
These Five to cherish well is chiefest charity."
"The posterity of householders who gather wealth without misdeeds and share meals without miserliness will never perish.","His descendants shall never fail who, living in the domestic state, fears vice (in the acquisition of property) and shares his food (with others).","His life and lineage will never end
who shuns blame and shares his food.","If one were to live in fear of infamy and partake of the remains of food (offered) one’s line would never perish.","His life and lineage will never end who
shuns blame and shares his food.","One who earns well but avoids the blame of hoarding wealth, by philanthropy, will lead a complete life with no complaints.","Pazhiyanjip Paaththoon Utaiththaayin
Vaazhkkai
Vazhiyenjal Egngnaandrum Il","Sin he shuns and food he shares
His home is bright and brighter fares.","Who shares his meal with other, while all guilt he shuns,
His virtuous line unbroken though the ages runs."
"If love and virtue in the household reign,
This is of life the perfect grace and gain.","If the married life possess love and virtue, these will be both its duty and reward.","When family life possesses love and virtue, it has found both its essence and fruition.","Family life actuated by love and virtue,
Endows it with character and happiness","The life of householder marked by love and rectitude is itself virtue and its fruit.","Family life actuated by love and virtue,
Endows it with character and happiness","If love and virtue pervade the family life, they become the characteristic and fruit of the family life.","Anpum Aranum Utaiththaayin
Ilvaazhkkai
Panpum Payanum Adhu","In grace and gain the home excels, 
Where love with virtue sweetly dwells."
